Domain,Career,College Name,Tuition Fee (INR),Speciality,Admission Process,State
Law,Legal Advisor,St. Xavier College of Law (Uttar Pradesh),"2,90,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Legal Advisor,Royal Academy of Law (Uttar Pradesh),"6,00,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Legal Advisor,Government Institute of Law (Gujarat Main Campus),"1,20,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,State University of Law & Research (Gujarat),"1,80,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,National Institute of Technology & Law (Gujarat),"4,50,000",LL.B / LL.M Legal Consultancy & Drafting,JEE Main / JEE Advanced + JoSAA Counselling,Gujarat
Law,Legal Advisor,Central College of Law Studies (Gujarat),"2,10,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,City School of Law (Gujarat),"3,50,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,Metropolitan Academy of Law (Gujarat),"4,20,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,Apex Institute of Law (Gujarat),"5,00,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,Pioneer College of Professional Studies (Gujarat),"3,80,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,St. Xavier College of Law (Gujarat),"2,90,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,Royal Academy of Law (Gujarat),"6,00,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Gujarat
Law,Legal Advisor,Government Institute of Law (Punjab Main Campus),"1,20,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,State University of Law & Research (Punjab),"1,80,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,National Institute of Technology & Law (Punjab),"4,50,000",LL.B / LL.M Legal Consultancy & Drafting,JEE Main / JEE Advanced + JoSAA Counselling,Punjab
Law,Legal Advisor,Central College of Law Studies (Punjab),"2,10,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,City School of Law (Punjab),"3,50,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,Metropolitan Academy of Law (Punjab),"4,20,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,Apex Institute of Law (Punjab),"5,00,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,Pioneer College of Professional Studies (Punjab),"3,80,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,St. Xavier College of Law (Punjab),"2,90,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,Royal Academy of Law (Punjab),"6,00,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Punjab
Law,Legal Advisor,Government Institute of Law (Kerala Main Campus),"1,20,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,State University of Law & Research (Kerala),"1,80,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,National Institute of Technology & Law (Kerala),"4,50,000",LL.B / LL.M Legal Consultancy & Drafting,JEE Main / JEE Advanced + JoSAA Counselling,Kerala
Law,Legal Advisor,Central College of Law Studies (Kerala),"2,10,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,City School of Law (Kerala),"3,50,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,Metropolitan Academy of Law (Kerala),"4,20,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,Apex Institute of Law (Kerala),"5,00,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,Pioneer College of Professional Studies (Kerala),"3,80,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,St. Xavier College of Law (Kerala),"2,90,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Legal Advisor,Royal Academy of Law (Kerala),"6,00,000",LL.B / LL.M Legal Consultancy & Drafting,University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,MNLU Mumbai,"7,50,000",BA LLB (Hons),CLAT,Maharashtra
Law,Judge,Government Law College (GLC) Mumbai,"40,000",BLS LLB / LLB 3-Yr,MAH CET LAW,Maharashtra
Law,Judge,ILS Law College Pune,"2,10,000",BA LLB,MAH CET LAW,Maharashtra
Law,Judge,Symbiosis Law School Pune,"18,50,000",BA/BB.A LLB (Hons),SLAT Entrance,Maharashtra
Law,Judge,MNLU Nagpur,"6,80,000",BA LLB (Hons),CLAT,Maharashtra
Law,Judge,MNLU Aurangabad,"6,20,000",BA LLB (Hons),CLAT,Maharashtra
Law,Judge,Bharati Vidyapeeth New Law College Pune,"4,50,000",BA LLB,BVP CET LAW,Maharashtra
Law,Judge,Rizvi Law College Mumbai,"1,80,000",LL.B 3 Years,MAH CET LAW,Maharashtra
Law,Judge,DY Patil Law College Pune,"2,20,000",BA LLB,MAH CET LAW,Maharashtra
Law,Judge,KC Law College Mumbai,"85,000",LL.B,MAH CET LAW,Maharashtra
Law,Judge,NLU Delhi (National Law University),"8,20,000",BA LLB (Hons),AILET,Delhi NCR
Law,Judge,Faculty of Law Delhi University (CLC),"18,000",LL.B 3-Year,DUET / CUET PG,Delhi NCR
Law,Judge,Jamia Millia Islamia Law Faculty,"52,000",BA LLB (Hons),JMI Law Entrance,Delhi NCR
Law,Judge,Amity Law School Noida,"13,50,000",BA LLB / BBA LLB,Amity Test / CLAT,Delhi NCR
Law,Judge,ILI (Indian Law Institute) Delhi,"1,20,000",LLM / PG Diploma Corporate Law,ILI CAT,Delhi NCR
Law,Judge,Symbiosis Law School Noida,"16,00,000",BA LLB / BBA LLB,SLAT Entrance,Delhi NCR
Law,Judge,USLLS GGSIPU Delhi,"4,20,000",BA LLB (Hons),CLAT UG,Delhi NCR
Law,Judge,Lloyd Law College Greater Noida,"7,80,000",BA LLB,LET Entrance / CLAT,Delhi NCR
Law,Judge,Galgotias University School of Law Greater Noida,"4,80,000",BA LLB,CLAT / GEEE,Delhi NCR
Law,Judge,Sharda University School of Law Greater Noida,"6,20,000",BA LLB,SUAT / CLAT,Delhi NCR
Law,Judge,NLSIU Bangalore (National Law School),"11,50,000",BA LLB (Hons),CLAT,Karnataka
Law,Judge,KLE Society Law College Bangalore,"4,80,000",BA LLB / BBA LLB,KLE Law Test / Merit,Karnataka
Law,Judge,Christ University School of Law Bangalore,"11,20,000",BA LLB (Hons),Christ Law Test,Karnataka
Law,Judge,CMR Law School Bangalore,"6,50,000",BA LLB,CMRUAT / CLAT,Karnataka
Law,Judge,Ramaiah College of Law Bangalore,"7,20,000",BA LLB,CLAT / Merit,Karnataka
Law,Judge,Alliance School of Law Bangalore,"10,00,000",BA LLB / BBA LLB,AUSAT / CLAT,Karnataka
Law,Judge,BMS Law College Bangalore,"3,50,000",BA LLB / LL.B,Merit 12th,Karnataka
Law,Judge,University Law College Bangalore Uni,"80,000",BA LLB 5-Year,Karnataka Law Entrance,Karnataka
Law,Judge,Bishop Cotton Women's Law College Bangalore,"3,80,000",BA LLB,Merit,Karnataka
Law,Judge,Jain University School of Law Bangalore,"9,80,000",BA LLB,JET Law,Karnataka
Law,Judge,Government Institute of Law (Tamil Nadu Main Campus),"1,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,State University of Law & Research (Tamil Nadu),"1,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,National Institute of Technology & Law (Tamil Nadu),"4,50,000",LL.B + Judicial Services Examination (PCS-J),JEE Main / JEE Advanced + JoSAA Counselling,Tamil Nadu
Law,Judge,Central College of Law Studies (Tamil Nadu),"2,10,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,City School of Law (Tamil Nadu),"3,50,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,Metropolitan Academy of Law (Tamil Nadu),"4,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,Apex Institute of Law (Tamil Nadu),"5,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,Pioneer College of Professional Studies (Tamil Nadu),"3,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,St. Xavier College of Law (Tamil Nadu),"2,90,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,Royal Academy of Law (Tamil Nadu),"6,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Judge,Government Institute of Law (Telangana Main Campus),"1,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,State University of Law & Research (Telangana),"1,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,National Institute of Technology & Law (Telangana),"4,50,000",LL.B + Judicial Services Examination (PCS-J),JEE Main / JEE Advanced + JoSAA Counselling,Telangana
Law,Judge,Central College of Law Studies (Telangana),"2,10,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,City School of Law (Telangana),"3,50,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,Metropolitan Academy of Law (Telangana),"4,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,Apex Institute of Law (Telangana),"5,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,Pioneer College of Professional Studies (Telangana),"3,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,St. Xavier College of Law (Telangana),"2,90,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,Royal Academy of Law (Telangana),"6,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Telangana
Law,Judge,Government Institute of Law (West Bengal Main Campus),"1,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,State University of Law & Research (West Bengal),"1,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,National Institute of Technology & Law (West Bengal),"4,50,000",LL.B + Judicial Services Examination (PCS-J),JEE Main / JEE Advanced + JoSAA Counselling,West Bengal
Law,Judge,Central College of Law Studies (West Bengal),"2,10,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,City School of Law (West Bengal),"3,50,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,Metropolitan Academy of Law (West Bengal),"4,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,Apex Institute of Law (West Bengal),"5,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,Pioneer College of Professional Studies (West Bengal),"3,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,St. Xavier College of Law (West Bengal),"2,90,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,Royal Academy of Law (West Bengal),"6,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,West Bengal
Law,Judge,Government Institute of Law (Uttar Pradesh Main Campus),"1,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,State University of Law & Research (Uttar Pradesh),"1,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,National Institute of Technology & Law (Uttar Pradesh),"4,50,000",LL.B + Judicial Services Examination (PCS-J),JEE Main / JEE Advanced + JoSAA Counselling,Uttar Pradesh
Law,Judge,Central College of Law Studies (Uttar Pradesh),"2,10,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,City School of Law (Uttar Pradesh),"3,50,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,Metropolitan Academy of Law (Uttar Pradesh),"4,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,Apex Institute of Law (Uttar Pradesh),"5,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,Pioneer College of Professional Studies (Uttar Pradesh),"3,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,St. Xavier College of Law (Uttar Pradesh),"2,90,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,Royal Academy of Law (Uttar Pradesh),"6,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Uttar Pradesh
Law,Judge,Government Institute of Law (Gujarat Main Campus),"1,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,State University of Law & Research (Gujarat),"1,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,National Institute of Technology & Law (Gujarat),"4,50,000",LL.B + Judicial Services Examination (PCS-J),JEE Main / JEE Advanced + JoSAA Counselling,Gujarat
Law,Judge,Central College of Law Studies (Gujarat),"2,10,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,City School of Law (Gujarat),"3,50,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,Metropolitan Academy of Law (Gujarat),"4,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,Apex Institute of Law (Gujarat),"5,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,Pioneer College of Professional Studies (Gujarat),"3,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,St. Xavier College of Law (Gujarat),"2,90,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,Royal Academy of Law (Gujarat),"6,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Gujarat
Law,Judge,Government Institute of Law (Punjab Main Campus),"1,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,State University of Law & Research (Punjab),"1,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,National Institute of Technology & Law (Punjab),"4,50,000",LL.B + Judicial Services Examination (PCS-J),JEE Main / JEE Advanced + JoSAA Counselling,Punjab
Law,Judge,Central College of Law Studies (Punjab),"2,10,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,City School of Law (Punjab),"3,50,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,Metropolitan Academy of Law (Punjab),"4,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,Apex Institute of Law (Punjab),"5,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,Pioneer College of Professional Studies (Punjab),"3,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,St. Xavier College of Law (Punjab),"2,90,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,Royal Academy of Law (Punjab),"6,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Punjab
Law,Judge,Government Institute of Law (Kerala Main Campus),"1,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,State University of Law & Research (Kerala),"1,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,National Institute of Technology & Law (Kerala),"4,50,000",LL.B + Judicial Services Examination (PCS-J),JEE Main / JEE Advanced + JoSAA Counselling,Kerala
Law,Judge,Central College of Law Studies (Kerala),"2,10,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,City School of Law (Kerala),"3,50,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,Metropolitan Academy of Law (Kerala),"4,20,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,Apex Institute of Law (Kerala),"5,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,Pioneer College of Professional Studies (Kerala),"3,80,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,St. Xavier College of Law (Kerala),"2,90,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Judge,Royal Academy of Law (Kerala),"6,00,000",LL.B + Judicial Services Examination (PCS-J),University Entrance Exam / Merit-based Admission,Kerala
Law,Public Prosecutor,MNLU Mumbai,"7,50,000",BA LLB (Hons),CLAT,Maharashtra
Law,Public Prosecutor,Government Law College (GLC) Mumbai,"40,000",BLS LLB / LLB 3-Yr,MAH CET LAW,Maharashtra
Law,Public Prosecutor,ILS Law College Pune,"2,10,000",BA LLB,MAH CET LAW,Maharashtra
Law,Public Prosecutor,Symbiosis Law School Pune,"18,50,000",BA/BB.A LLB (Hons),SLAT Entrance,Maharashtra
Law,Public Prosecutor,MNLU Nagpur,"6,80,000",BA LLB (Hons),CLAT,Maharashtra
Law,Public Prosecutor,MNLU Aurangabad,"6,20,000",BA LLB (Hons),CLAT,Maharashtra
Law,Public Prosecutor,Bharati Vidyapeeth New Law College Pune,"4,50,000",BA LLB,BVP CET LAW,Maharashtra
Law,Public Prosecutor,Rizvi Law College Mumbai,"1,80,000",LL.B 3 Years,MAH CET LAW,Maharashtra
Law,Public Prosecutor,DY Patil Law College Pune,"2,20,000",BA LLB,MAH CET LAW,Maharashtra
Law,Public Prosecutor,KC Law College Mumbai,"85,000",LL.B,MAH CET LAW,Maharashtra
Law,Public Prosecutor,NLU Delhi (National Law University),"8,20,000",BA LLB (Hons),AILET,Delhi NCR
Law,Public Prosecutor,Faculty of Law Delhi University (CLC),"18,000",LL.B 3-Year,DUET / CUET PG,Delhi NCR
Law,Public Prosecutor,Jamia Millia Islamia Law Faculty,"52,000",BA LLB (Hons),JMI Law Entrance,Delhi NCR
Law,Public Prosecutor,Amity Law School Noida,"13,50,000",BA LLB / BBA LLB,Amity Test / CLAT,Delhi NCR
Law,Public Prosecutor,ILI (Indian Law Institute) Delhi,"1,20,000",LLM / PG Diploma Corporate Law,ILI CAT,Delhi NCR
Law,Public Prosecutor,Symbiosis Law School Noida,"16,00,000",BA LLB / BBA LLB,SLAT Entrance,Delhi NCR
Law,Public Prosecutor,USLLS GGSIPU Delhi,"4,20,000",BA LLB (Hons),CLAT UG,Delhi NCR
Law,Public Prosecutor,Lloyd Law College Greater Noida,"7,80,000",BA LLB,LET Entrance / CLAT,Delhi NCR
Law,Public Prosecutor,Galgotias University School of Law Greater Noida,"4,80,000",BA LLB,CLAT / GEEE,Delhi NCR
Law,Public Prosecutor,Sharda University School of Law Greater Noida,"6,20,000",BA LLB,SUAT / CLAT,Delhi NCR
Law,Public Prosecutor,NLSIU Bangalore (National Law School),"11,50,000",BA LLB (Hons),CLAT,Karnataka
Law,Public Prosecutor,KLE Society Law College Bangalore,"4,80,000",BA LLB / BBA LLB,KLE Law Test / Merit,Karnataka
Law,Public Prosecutor,Christ University School of Law Bangalore,"11,20,000",BA LLB (Hons),Christ Law Test,Karnataka
Law,Public Prosecutor,CMR Law School Bangalore,"6,50,000",BA LLB,CMRUAT / CLAT,Karnataka
Law,Public Prosecutor,Ramaiah College of Law Bangalore,"7,20,000",BA LLB,CLAT / Merit,Karnataka
Law,Public Prosecutor,Alliance School of Law Bangalore,"10,00,000",BA LLB / BBA LLB,AUSAT / CLAT,Karnataka
Law,Public Prosecutor,BMS Law College Bangalore,"3,50,000",BA LLB / LL.B,Merit 12th,Karnataka
Law,Public Prosecutor,University Law College Bangalore Uni,"80,000",BA LLB 5-Year,Karnataka Law Entrance,Karnataka
Law,Public Prosecutor,Bishop Cotton Women's Law College Bangalore,"3,80,000",BA LLB,Merit,Karnataka
Law,Public Prosecutor,Jain University School of Law Bangalore,"9,80,000",BA LLB,JET Law,Karnataka
Law,Public Prosecutor,Government Institute of Law (Tamil Nadu Main Campus),"1,20,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,State University of Law & Research (Tamil Nadu),"1,80,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,National Institute of Technology & Law (Tamil Nadu),"4,50,000",LL.B + Assistant Prosecution Officer (APO) Exam,JEE Main / JEE Advanced + JoSAA Counselling,Tamil Nadu
Law,Public Prosecutor,Central College of Law Studies (Tamil Nadu),"2,10,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,City School of Law (Tamil Nadu),"3,50,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,Metropolitan Academy of Law (Tamil Nadu),"4,20,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,Apex Institute of Law (Tamil Nadu),"5,00,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,Pioneer College of Professional Studies (Tamil Nadu),"3,80,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,St. Xavier College of Law (Tamil Nadu),"2,90,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,Royal Academy of Law (Tamil Nadu),"6,00,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Tamil Nadu
Law,Public Prosecutor,Government Institute of Law (Telangana Main Campus),"1,20,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,State University of Law & Research (Telangana),"1,80,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,National Institute of Technology & Law (Telangana),"4,50,000",LL.B + Assistant Prosecution Officer (APO) Exam,JEE Main / JEE Advanced + JoSAA Counselling,Telangana
Law,Public Prosecutor,Central College of Law Studies (Telangana),"2,10,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,City School of Law (Telangana),"3,50,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,Metropolitan Academy of Law (Telangana),"4,20,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,Apex Institute of Law (Telangana),"5,00,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,Pioneer College of Professional Studies (Telangana),"3,80,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,St. Xavier College of Law (Telangana),"2,90,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,Royal Academy of Law (Telangana),"6,00,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,Telangana
Law,Public Prosecutor,Government Institute of Law (West Bengal Main Campus),"1,20,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
Law,Public Prosecutor,State University of Law & Research (West Bengal),"1,80,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
Law,Public Prosecutor,National Institute of Technology & Law (West Bengal),"4,50,000",LL.B + Assistant Prosecution Officer (APO) Exam,JEE Main / JEE Advanced + JoSAA Counselling,West Bengal
Law,Public Prosecutor,Central College of Law Studies (West Bengal),"2,10,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
Law,Public Prosecutor,City School of Law (West Bengal),"3,50,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
Law,Public Prosecutor,Metropolitan Academy of Law (West Bengal),"4,20,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
Law,Public Prosecutor,Apex Institute of Law (West Bengal),"5,00,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
Law,Public Prosecutor,Pioneer College of Professional Studies (West Bengal),"3,80,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
Law,Public Prosecutor,St. Xavier College of Law (West Bengal),"2,90,000",LL.B + Assistant Prosecution Officer (APO) Exam,University Entrance Exam / Merit-based Admission,West Bengal
